GEOID,sovi,rank,fema_region
g01001,-1.144277321216744,514.0,FEMA_4
g01003,-0.2621313871855732,388.0,FEMA_4
g01005,0.2250004942970701,323.0,FEMA_4
g01007,-0.27287596338979003,392.0,FEMA_4
g01009,-0.14165152032225845,375.0,FEMA_4
g01011,0.01861217642054172,353.0,FEMA_4
g01013,0.05963978097315901,351.0,FEMA_4
g01015,-1.1747126600092803,520.0,FEMA_4
g01017,0.07603775274209423,347.0,FEMA_4
g01019,-0.09333683069504062,369.0,FEMA_4
g01021,-2.1989173751498674,621.0,FEMA_4
g01023,-1.4818417196254532,556.0,FEMA_4
g01025,-0.6890604102400238,453.0,FEMA_4
g01027,0.5498874384243178,277.0,FEMA_4
g01029,-1.633189729758269,574.0,FEMA_4
g01031,-0.9532580895521027,486.0,FEMA_4
g01033,-1.6306498729604237,573.0,FEMA_4
g01035,0.62128959244126,271.0,FEMA_4
g01037,-0.3948012937878108,409.0,FEMA_4
g01039,0.07070944879072044,348.0,FEMA_4
g01041,-0.36142045339706064,406.0,FEMA_4
g01043,-0.9767966286094415,493.0,FEMA_4
g01045,-0.4205702726362155,415.0,FEMA_4
g01047,0.870484967400645,241.0,FEMA_4
g01049,0.3385310385425636,303.0,FEMA_4
g01051,-3.212181832592961,674.0,FEMA_4
g01053,2.784503864775549,82.0,FEMA_4
g01055,-0.4793101896451215,423.0,FEMA_4
g01057,-0.2859485449416783,394.0,FEMA_4
g01059,0.3869979231648214,298.0,FEMA_4
g01061,-0.5166486404652196,429.0,FEMA_4
g01063,1.4428214097893808,176.0,FEMA_4
g01065,0.8573671007358294,244.0,FEMA_4
g01067,0.0695529244432187,349.0,FEMA_4
g01069,-1.3816163808059254,542.0,FEMA_4
g01071,-0.9753851961335411,492.0,FEMA_4
g01073,-1.808608318719796,594.0,FEMA_4
g01075,-0.4391600689525687,417.0,FEMA_4
g01077,-0.6960366210150769,456.0,FEMA_4
g01079,-0.2949037364471261,396.0,FEMA_4
g01081,-3.092307419657093,669.0,FEMA_4
g01083,-2.7223775492034554,648.0,FEMA_4
g01085,-0.9062614189701472,484.0,FEMA_4
g01087,3.072014555162274,68.0,FEMA_4
g01089,-3.8113731804593565,694.0,FEMA_4
g01091,0.1845817877942979,330.0,FEMA_4
g01093,0.4965714250102352,284.0,FEMA_4
g01095,-0.11511334323704496,372.0,FEMA_4
g01097,-1.512073085312289,561.0,FEMA_4
g01099,0.4022445519533664,297.0,FEMA_4
g01101,-1.1395138073101254,513.0,FEMA_4
g01103,-1.7212500799452537,589.0,FEMA_4
g01105,3.363820198128653,56.0,FEMA_4
g01107,0.1453748971422315,337.0,FEMA_4
g01109,0.3376605519040464,305.0,FEMA_4
g01111,0.06904609640808534,350.0,FEMA_4
g01113,0.6498014078029745,267.0,FEMA_4
g01115,-3.6659261578732347,688.0,FEMA_4
g01117,-6.295277128644885,728.0,FEMA_4
g01119,3.4105380595589945,52.0,FEMA_4
g01121,-0.9026089316117746,483.0,FEMA_4
g01123,0.6800972281753771,262.0,FEMA_4
g01125,-2.352224956719293,631.0,FEMA_4
g01127,-0.48661618989332656,425.0,FEMA_4
g01129,-0.37269318987376066,407.0,FEMA_4
g01131,0.8478800393659373,247.0,FEMA_4
g01133,0.47515354058464404,285.0,FEMA_4
g02013,,,
g02016,,,
g02020,,,
g02050,,,
g02060,,,
g02068,,,
g02070,,,
g02090,,,
g02100,,,
g02105,,,
g02110,,,
g02122,,,
g02130,,,
g02150,,,
g02164,,,
g02170,,,
g02180,,,
g02185,,,
g02188,,,
g02195,,,
g02198,,,
g02220,,,
g02230,,,
g02240,,,
g02261,,,
g02270,,,
g02275,,,
g02282,,,
g02290,,,
